entry_time,exit_time,entry_price,exit_price,pnl,return,holding_minutes
2024-04-03 14:01:00,2024-04-03 23:59:00,2304.6,2317.4,0.009256848621597468,0.9256848621597468,598.0
2024-04-03 14:02:00,2024-04-03 23:59:00,2303.3,2317.4,0.010202752572395902,1.0202752572395901,597.0
2024-04-04 18:21:00,2024-04-04 19:38:00,2319.4,2305.4836,-0.01,-1.0,77.0
2024-04-04 14:29:00,2024-04-04 19:46:00,2316.9,2302.9986,-0.01,-1.0,317.0
2024-04-05 12:30:00,2024-04-05 14:28:00,2302.5,2330.13,0.02,2.0,118.0
2024-04-05 13:19:00,2024-04-05 15:20:00,2317.7,2345.5123999999996,0.02,2.0,121.0
2024-04-05 13:51:00,2024-04-05 16:02:00,2320.5,2348.346,0.019999999999999674,1.9999999999999674,131.0
2024-04-05 14:34:00,2024-04-05 20:59:00,2336.6,2349.1,0.00891608890410563,0.8916088904105629,385.0
2024-04-08 01:56:00,2024-04-08 02:39:00,2340.7,2368.7884,0.020000000000000323,2.0000000000000324,43.0
2024-04-08 02:37:00,2024-04-08 12:25:00,2359.8,2345.6412,-0.01,-1.0,588.0
2024-04-08 02:16:00,2024-04-08 23:59:00,2348.2,2357.7,0.006742753314595629,0.6742753314595629,1303.0
2024-04-08 13:35:00,2024-04-08 23:59:00,2349.9,2357.7,0.0055321503042680496,0.553215030426805,624.0
2024-04-09 07:15:00,2024-04-09 15:51:00,2373.5,2359.259,-0.01,-1.0,516.0
2024-04-10 13:45:00,2024-04-10 23:59:00,2347.5,2352.9,0.0038338658146965404,0.38338658146965404,614.0
2024-04-10 13:59:00,2024-04-10 23:59:00,2352.4,2352.9,0.0003542481437397285,0.03542481437397285,600.0
2024-04-10 14:08:00,2024-04-10 23:59:00,2358.0,2352.9,-0.003604749787955795,-0.3604749787955795,591.0
2024-04-11 12:31:00,2024-04-11 19:42:00,2355.9,2384.1708000000003,0.02,2.0,431.0
2024-04-12 01:01:00,2024-04-12 14:14:00,2402.5,2431.33,0.02,2.0,793.0
2024-04-12 01:02:00,2024-04-12 14:14:00,2401.4,2430.2168,0.020000000000000316,2.0000000000000315,792.0
2024-04-12 13:43:00,2024-04-12 15:04:00,2418.4,2447.4208000000003,0.02,2.0,81.0
2024-04-12 14:19:00,2024-04-12 15:24:00,2433.4,2418.7996000000003,-0.01,-1.0,65.0
2024-04-12 14:16:00,2024-04-12 15:25:00,2432.3,2417.7062,-0.01,-1.0,69.0
2024-04-14 22:08:00,2024-04-14 22:24:00,2388.8,2374.4672,-0.01,-1.0,16.0
